station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Paddington,Wimbledon,-212,-207,-277
Parsons Green,Mansion House,-212,-229,-236
Green Park,Canary Wharf,-212,-222,-228
Rayners Lane,Uxbridge,-212,-37,-180
Queensbury,Wembley Park,-212,13,-8
Clapham High Street,Clapham Junction,-212,393,741
King's Cross St. Pancras,Covent Garden,-211,-227,-406
Liverpool Street,Edgware Road,-211,-300,-312
Turnpike Lane,Highbury & Islington,-211,-59,-265
Charing Cross,Regent's Park,-211,-224,-238
Woolwich Arsenal,Stratford,-210,-644,-1532
Stratford,Star Lane,-210,-199,-424
Westbourne Park,Farringdon,-210,-217,-249
Paddington,Heathrow Terminal 4,-210,-215,-217
Clapham Common,Old Street,-209,-210,-250
Finchley Central,High Barnet,-209,-131,-227
Ruislip Manor,Uxbridge,-209,-6,421
King's Cross St. Pancras,Bank and Monument,-208,-593,-1366
Caledonian Road,Holborn,-208,-171,-232
Holloway Road,Holborn,-208,-180,-211
Earl's Court,Green Park,-207,-237,-396
Kensal Green,Euston,-207,-210,-239
Greenford,Shepherd's Bush,-207,-186,-178
Euston,Charing Cross,-206,-285,-349
Embankment,Sloane Square,-206,-220,-233
Paddington,Westminster,-205,-345,-458
Balham,Canary Wharf,-205,-163,-347
London Bridge,Tooting Broadway,-205,-256,-262
Whitechapel,Haggerston,-205,-212,-233
Redbridge,Stratford,-205,-103,238
Bank and Monument,Bond Street,-204,-389,-496
Bow Road,Whitechapel,-203,-100,-298
New Cross,Shoreditch High Street,-203,-174,-287
Brixton,Old Street,-202,-165,-355
Queen's Park,Euston,-202,-189,-286
Willesden Junction,West Brompton,-202,-215,-242
Dagenham Heathway,Whitechapel,-202,-208,-236
Blackhorse Road,Oxford Circus,-202,-222,-107
Canada Water,Queens Road Peckham,-201,-165,-255
West Ham,Stratford High Street,-201,-238,-251
Paddington,St. James's Park,-200,-320,-409
Farringdon,Euston Square,-200,-208,-248
Charing Cross,Marylebone,-200,-217,-222
Liverpool Street,St. Paul's,-199,-219,-785
Manor Park,Liverpool Street,-199,-396,-617
Waterloo,Mornington Crescent,-199,-307,-367
Clapham North,Bank and Monument,-199,-208,-317
Woolwich Arsenal,Stratford High Street,-199,-252,-255
Ealing Common,Hammersmith,-199,-157,-253
Stratford,Forest Gate,-199,-133,-225
Barking,South Tottenham,-199,-193,-207
North Greenwich,Green Park,-198,-286,-349
Canning Town,Bermondsey,-198,-236,-281
Highgate,Moorgate,-198,-233,-277
Queens Road Peckham,Clapham Junction,-198,-120,-242
Cutty Sark,Bank and Monument,-197,-402,-506
North Greenwich,Westminster,-197,-276,-308
Bethnal Green,Waterloo,-197,-199,-305
Euston,Pimlico,-197,-251,-265
Marble Arch,Bank and Monument,-197,-233,-256
Stratford,Westminster,-196,-471,-679
Marylebone,Oxford Circus,-196,-101,-478
Limehouse,South Quay,-196,-239,-354
Stratford International,West Ham,-196,-268,-296
Burnt Oak,Golders Green,-196,-160,-214
Chiswick Park,Ealing Broadway,-196,-156,-212
Stratford,Highbury & Islington,-195,-203,-1182
Bank and Monument,Crossharbour,-195,-215,-218
Lewisham,Limehouse,-194,-151,-307
Lancaster Gate,Holborn,-194,-189,-265
Finchley Road,Wembley Park,-194,-198,-220
Hatch End,Watford Junction,-194,-88,-127
Stratford,Marble Arch,-193,-272,-394
Walthamstow Queens Road,Barking,-193,-228,-297
Bethnal Green,Chancery Lane,-193,-175,-274
Kenton,Willesden Junction,-193,-189,-206
Snaresbrook,Stratford,-193,-74,312
Pimlico,Oxford Circus,-192,-182,-332
Finchley Central,Moorgate,-192,-237,-297
East Ham,Canary Wharf,-192,144,-127
South Ealing,Hammersmith,-192,-136,105
Colliers Wood,Bank and Monument,-191,-235,-213
Bromley-by-Bow,Whitechapel,-191,-153,46
Earl's Court,Piccadilly Circus,-190,-231,-287
Stockwell,Old Street,-189,-208,-306
Whitechapel,Stepney Green,-189,-83,-286
Bermondsey,Bond Street,-189,-212,-251
Shepherd's Bush,Marble Arch,-189,-168,-250
Farringdon,Baker Street,-189,-216,-243
Notting Hill Gate,Chancery Lane,-189,-206,-241
Gants Hill,Liverpool Street,-189,-159,90
Tooting Broadway,London Bridge,-189,-158,113
Leytonstone,Liverpool Street,-188,-175,-410
Highbury & Islington,Tottenham Hale,-188,-239,-260
Wembley Park,Uxbridge,-188,-131,-216
Turnpike Lane,King's Cross St. Pancras,-188,-92,284
Chadwell Heath,Liverpool Street,-188,-290,398
Walthamstow Central,Farringdon,-188,-54,1335
West Hampstead,Highbury & Islington,-187,-252,-359
Manor House,Victoria,-187,-197,-284
Mile End,Tottenham Court Road,-187,-211,-269
Oval,Moorgate,-187,-208,-259
Highgate,Kentish Town,-187,-107,-224
Parsons Green,Blackfriars,-187,-202,-219
Ealing Broadway,Tottenham Court Road,-187,-213,-50
Shadwell,Heron Quays,-186,-291,-317
Norwood Junction,Canada Water,-186,-253,-287
Queensway,Bank and Monument,-186,-235,-276
Baker Street,Aldgate,-186,-209,-220
Wembley Central,Harlesden,-186,-136,-199
Hounslow East,Hammersmith,-186,-161,-141
Finchley Central,Bank and Monument,-185,-225,-351
King's Cross St. Pancras,Wood Lane,-185,-208,-214
Hornchurch,Upminster,-185,-98,-128
Upminster Bridge,Upminster,-185,-17,524
King's Cross St. Pancras,Great Portland Street,-184,-19,-549
Marylebone,Waterloo,-184,-230,-273
Tooting Bec,Old Street,-184,-199,-228
West Brompton,Imperial Wharf,-184,-142,-214
Bank and Monument,Shadwell,-183,-283,-430
Highbury & Islington,Shadwell,-183,-234,-308
Stratford,Lewisham,-183,-172,-292
Queensway,St. Paul's,-183,-196,-209
St. James's Park,Mansion House,-183,-191,-196
Walthamstow Central,Green Park,-182,-218,-397
West Croydon,Canada Water,-182,-197,-69
Dalston Junction,Shoreditch High Street,-182,137,678
Turnpike Lane,Victoria,-181,-179,-290
Blackhorse Road,Warren Street,-181,-213,-272
Whitechapel,Temple,-181,-212,-256
Southbury,Seven Sisters,-181,-175,-246
Gloucester Road,Canary Wharf,-181,-206,-223
Clapham South,Canary Wharf,-180,-161,-274
Charing Cross,Euston,-180,-221,-263
Paddington,Ealing Broadway,-180,-202,-240
Wimbledon,Wimbledon Park,-180,90,364
Blackfriars,South Kensington,-179,-207,-230
Aldgate,Barbican,-179,-186,-221
Ealing Broadway,Holborn,-179,-208,-166
Bow Church,Langdon Park,-179,-120,-60
Greenwich,Heron Quays,-178,-226,-243
South Kensington,Blackfriars,-178,-192,-218
Great Portland Street,Farringdon,-178,-178,-203
Sloane Square,Bank and Monument,-177,-260,-345
Finchley Road,Farringdon,-177,-190,-251
Imperial Wharf,Shepherd's Bush,-177,-194,-248
Colindale,Golders Green,-177,-34,-196
Willesden Junction,Shepherd's Bush,-177,-44,1271
Harlesden,Willesden Junction,-177,164,1273
Canada Water,Baker Street,-176,-289,-382
Walthamstow Central,Euston,-176,-186,-360
Golders Green,Moorgate,-176,-210,-259
Kilburn,Canary Wharf,-176,-185,-229
West Ham,London Bridge,-175,-234,-321
Liverpool Street,Shepherd's Bush,-175,-255,-268
Gants Hill,St. Paul's,-175,-173,-63
Bush Hill Park,Liverpool Street,-175,-308,-18
Finsbury Park,Green Park,-174,-223,-581
Mile End,Liverpool Street,-174,-14,-384
Aldgate East,Temple,-174,-184,-195
Liverpool Street,Stratford,-173,-617,-700
Liverpool Street,Embankment,-173,-368,-417
South Acton,Richmond,-173,-165,-208
East Putney,Mansion House,-173,-193,-205
Cannon Street,Sloane Square,-173,-186,-187
Wembley Park,Farringdon,-173,-145,-12
Wood Green,Finsbury Park,-172,-57,-258
Canonbury,Shoreditch High Street,-172,-188,-257
Hammersmith,Ladbroke Grove,-172,-108,-229
West Ham,Star Lane,-172,-71,-218
Seven Sisters,London Fields,-172,-153,-210
Harrow-on-the-Hill,Aldgate,-172,-188,-204
Barking,Leyton Midland Road,-172,-168,-183
Tower Hill,Mansion House,-171,-179,-302
Stockwell,Warren Street,-171,-221,-294
Clapham High Street,Denmark Hill,-171,-125,-273
West Ham,Southwark,-171,-215,-229
Gloucester Road,Blackfriars,-171,-190,-205
Elephant & Castle,Regent's Park,-171,-185,-200
Canning Town,Beckton,-171,-148,-190
Harrow-on-the-Hill,Northwood,-171,-143,-190
Fulham Broadway,Mansion House,-171,-183,-188
North Wembley,Willesden Junction,-171,-161,-183
Crystal Palace,Shoreditch High Street,-171,-128,-126
Bounds Green,Holborn,-171,-155,289
King's Cross St. Pancras,Green Park,-170,-311,-693
Wood Green,Victoria,-170,-159,-275
Canada Water,Forest Hill,-170,-188,-193
North Acton,Queensway,-170,-171,-182
Imperial Wharf,Clapham Junction,-170,321,626
Tooting Broadway,Victoria,-170,-26,891
Bank and Monument,King's Cross St. Pancras,-169,-445,-675
King's Cross St. Pancras,Edgware Road,-169,-278,-359
Camden Town,Bank and Monument,-169,-219,-287
Wembley Park,Baker Street,-169,-142,-230
Denmark Hill,Clapham High Street,-169,-97,-225
Liverpool Street,Wembley Park,-169,-206,-210
Stanmore,Canary Wharf,-169,-157,-208
Liverpool Street,Ilford,-169,-189,-190
Buckhurst Hill,Stratford,-169,-144,-158
Willesden Green,Bond Street,-169,-138,461
King's Cross St. Pancras,Barbican,-168,-182,-505
Victoria,Camden Town,-168,-254,-342
Colindale,Bank and Monument,-168,-216,-303
Whitechapel,Mansion House,-168,-204,-283
Belsize Park,Bank and Monument,-168,-202,-276
Upton Park,Barking,-168,26,-259
Cannon Street,Temple,-168,-191,-204
Archway,Finchley Central,-168,-162,-187
Hammersmith,South Kensington,-168,49,2564
Stockwell,King's Cross St. Pancras,-167,-232,-348
Hammersmith,Baker Street,-167,-203,-303
Whitechapel,St. James's Park,-167,-230,-259
Kilburn High Road,Euston,-167,-199,-232
Harrow-on-the-Hill,Wembley Park,-167,248,123
Leyton,Liverpool Street,-166,-204,-454
Hammersmith,Piccadilly Circus,-166,-204,-286
Whitechapel,South Kensington,-166,-213,-239
Homerton,Stratford,-166,95,-150
Carpenders Park,Bushey,-166,47,238
Archway,Kentish Town,-166,144,492
Leyton Midland Road,Blackhorse Road,-165,-201,-262
Hammersmith,Euston Square,-165,-191,-238
Leytonstone,St. Paul's,-165,-172,-227
Barking,Upton Park,-165,-96,-217
Oval,Old Street,-165,-161,-209
Mile End,Holborn,-164,-180,-264
Canning Town,Pontoon Dock,-164,-68,-250
Bow Road,Aldgate East,-164,-150,-213
Ealing Broadway,North Acton,-164,397,410
King's Cross St. Pancras,Liverpool Street,-163,-431,-1201
East Finchley,Bank and Monument,-163,-194,-334
Old Street,King's Cross St. Pancras,-163,-144,-325
Paddington,Elephant & Castle,-163,-223,-266
Victoria,Walthamstow Central,-163,-215,-221
Bank and Monument,White City,-163,-207,-216
Clapham Common,London Bridge,-163,-136,-136
Barons Court,Green Park,-162,-198,-247
Finchley Road,Moorgate,-162,-206,-229
Shadwell,Hoxton,-162,-182,-223
Whitechapel,Barking,-162,-187,-198
Poplar,Tower Gateway,-162,-178,-188
Highbury & Islington,New Cross Gate,-162,-177,-184
Brockley,Shoreditch High Street,-161,-144,-273
Paddington,Aldgate,-161,-226,-272
Camden Town,Moorgate,-161,-192,-216
Golders Green,Old Street,-161,-152,-155
East India,Canning Town,-161,-45,2
New Cross,Canada Water,-161,109,880
Victoria,Hammersmith,-160,-303,-495
Stratford,Leytonstone,-160,-71,-398
Harrow-on-the-Hill,Canary Wharf,-160,-155,-243
Ealing Broadway,East Acton,-160,-42,-223
Swiss Cottage,Bond Street,-160,-142,-219
Marble Arch,Liverpool Street,-160,-189,-203
South Kensington,Cannon Street,-160,-174,-178
Wembley Park,Euston Square,-160,-150,-110
Canary Wharf,Baker Street,-159,-230,-256
Arsenal,Holborn,-159,-154,-200
Uxbridge,Ruislip Manor,-159,-155,-167
Waterloo,Oxford Circus,-158,548,-1841
Paddington,Southwark,-158,-276,-323
London Bridge,St. John's Wood,-158,-206,-221
Blackhorse Road,Tottenham Hale,-158,233,405
Kingsbury,Wembley Park,-158,278,1550
Haggerston,Canada Water,-157,-256,-300
Manor House,King's Cross St. Pancras,-157,-55,-280
All Saints,Stratford,-157,-232,-258
Mile End,Chancery Lane,-157,-159,-237
Theobalds Grove,Seven Sisters,-157,-182,-213
Highbury & Islington,Finchley Road & Frognal,-157,-180,-196
Caledonian Road,Russell Square,-157,-150,-179
Barking,Dagenham East,-157,-151,-174
South Kenton,Willesden Junction,-157,-151,-169
Highgate,Bank and Monument,-156,-192,-320
Bank and Monument,Marble Arch,-156,-228,-257
Notting Hill Gate,Holborn,-156,-178,-232
Blackhorse Road,Barking,-156,-155,-214
Seven Sisters,Brixton,-156,-169,-212
Clapham North,Moorgate,-156,-180,-206
Cannon Street,South Kensington,-156,-173,-175
Paddington,Victoria,-155,-157,-620
Archway,Moorgate,-155,-195,-250
Finsbury Park,Covent Garden,-155,-180,-247
Canning Town,Tower Gateway,-155,-33,-237
Shepherd's Bush,North Acton,-155,-135,-207
North Acton,Lancaster Gate,-155,-154,-158
Wood Green,King's Cross St. Pancras,-155,-56,329
Colindale,Moorgate,-154,-197,-245
London Bridge,White City,-154,-205,-220
Vauxhall,Finsbury Park,-154,-195,-213
Debden,Stratford,-154,-140,-208
Chalk Farm,Moorgate,-154,-177,-195
Pimlico,Canary Wharf,-154,-174,-193
Sloane Square,Temple,-154,-167,-190
East India,Tower Gateway,-154,-156,-176
Canada Water,Sydenham,-154,-169,-171
Heathrow Terminal 4,Heathrow Terminals 2 & 3,-154,-49,3
London Bridge,Balham,-153,-207,-214
London Bridge,Wembley Park,-153,-192,-198
Finchley Central,Archway,-153,-96,-188
Hainault,Liverpool Street,-153,-146,-3
Blackfriars,Sloane Square,-152,-173,-190
Canada Water,Crystal Palace,-152,-160,-166
Canary Wharf,Stratford,-151,-405,-657
Wembley Park,Harrow-on-the-Hill,-151,-51,-215
Wanstead Park,Blackhorse Road,-151,-193,-213
Marble Arch,St. Paul's,-151,-161,-169
Sudbury Town,Hammersmith,-151,-123,-119
Bounds Green,Highbury & Islington,-150,-92,-237
Homerton,Camden Road,-150,-145,-201
Ladbroke Grove,Farringdon,-150,-157,-187
Kentish Town West,West Hampstead,-150,-170,-177
High Barnet,Finchley Central,-150,-91,-172
Embankment,West Brompton,-150,-160,-161
Highbury & Islington,Whitechapel,-149,-230,-429
Shoreditch High Street,Canada Water,-149,-193,-237
Old Street,Elephant & Castle,-149,-166,-183
Walthamstow Central,Highams Park,-149,-94,-182
Charing Cross,Edgware Road,-149,-172,-178
Clapham South,Old Street,-149,-150,-163
London Bridge,Oval,-148,-205,-255
Pimlico,King's Cross St. Pancras,-148,-182,-218
Liverpool Street,White City,-148,-197,-205
Tower Hill,Paddington,-148,-189,-203
Barking,Harringay Green Lanes,-148,-144,-155
Clapham South,London Bridge,-148,-122,57
Leyton,Whitechapel,-147,-155,-283
Woolwich Arsenal,Poplar,-147,-199,-235
Aldgate,Baker Street,-147,-162,-167
East Finchley,Old Street,-147,-135,-100
Bounds Green,King's Cross St. Pancras,-147,-98,70
East Putney,West Brompton,-146,-129,-214
Willesden Green,Wembley Park,-146,-32,-211
Canning Town,King George V,-146,-157,-185
Westferry,Tower Gateway,-146,-154,-182
Uxbridge,Harrow-on-the-Hill,-146,-127,-166
Barking,Upper Holloway,-146,-143,-155
Highbury & Islington,West Hampstead,-145,-211,-246
Clapham Junction,Peckham Rye,-145,-157,-218
Kennington,Tottenham Court Road,-145,-141,-204
West Brompton,Parsons Green,-145,-112,-181
Northolt,White City,-145,-111,-172
Moorgate,Elephant & Castle,-145,-165,-171
South Wimbledon,Old Street,-145,-149,-143
Woodford,St. Paul's,-145,-146,-53
Seven Sisters,Green Park,-144,-169,-338
Marylebone,Bank and Monument,-144,-264,-322
Colliers Wood,Moorgate,-144,-191,-236
Wembley Park,West Hampstead,-144,-128,-220
Wembley Park,Northwick Park,-144,-61,-200
Elephant & Castle,Angel,-144,-166,-199
Wembley Park,Finchley Road,-144,-137,-190
Whitechapel,Bromley-by-Bow,-144,-161,-174
Richmond,Turnham Green,-144,-123,-167
Stanmore,Kingsbury,-144,-102,-160
Alperton,Hammersmith,-144,-103,-119
Hounslow West,Hammersmith,-144,-120,-100
Boston Manor,Hammersmith,-144,-104,156
Wood Green,Holborn,-144,-111,580
Oval,Bank and Monument,-143,-75,-304
West Hampstead,London Bridge,-143,-220,-289
West Brompton,Fulham Broadway,-143,60,-224
Leyton,St. Paul's,-143,-164,-220
New Cross Gate,West Croydon,-143,-134,-162
South Harrow,Hammersmith,-143,-123,-130
Hounslow Central,Hammersmith,-143,-122,-116
West Ham,North Greenwich,-142,-69,-238
Edgware,Moorgate,-142,-168,-200
Hampstead,Moorgate,-142,-158,-176
Rayners Lane,Hammersmith,-142,-122,-174
Earl's Court,Cannon Street,-142,-166,-170
Whitechapel,Dalston Junction,-142,-143,-166
Hatch End,Watford High Street,-142,-115,-160
Bank and Monument,Blackwall,-142,-157,-159
Stamford Brook,Richmond,-142,-126,-156
Harrow & Wealdstone,Harlesden,-142,-137,-149
Archway,Tottenham Court Road,-142,-109,215
London Bridge,Brixton,-141,-195,-244
Queen's Park,Piccadilly Circus,-141,-155,-197
Kensal Rise,Clapham Junction,-141,-107,-162
Willesden Junction,South Acton,-141,-120,-156
Kensington,Clapham Junction,-141,-131,-144
Leyton,Chancery Lane,-140,-159,-219
East Putney,Paddington,-140,-126,-198
Richmond,Willesden Junction,-140,-120,-172
Southfields,Mansion House,-140,-160,-171
Barkingside,Stratford,-140,-123,-167
Edgware,Hendon Central,-140,-54,-164
Blackhorse Road,Farringdon,-140,-138,175
Highbury & Islington,Seven Sisters,-139,-224,-346
West Hampstead,Green Park,-139,-184,-284
Southfields,West Brompton,-139,-143,-197
Marylebone,St. Paul's,-139,-171,-191
St. John's Wood,London Bridge,-139,-156,-189
Shepherd's Bush,Ealing Broadway,-139,-137,-182
Brondesbury,Gunnersbury,-139,-165,-180
Highbury & Islington,Kensal Rise,-139,-149,-165
Stratford,Harold Wood,-139,-161,-163
Elm Park,Upminster,-139,-94,-158
Gloucester Road,Cannon Street,-139,-153,-155
Pinner,Watford,-139,-113,-147
Clapham Junction,Shoreditch High Street,-138,-170,-316
Whitechapel,Embankment,-138,-201,-227
Ealing Broadway,Notting Hill Gate,-138,-145,-218
Bethnal Green,Bond Street,-138,-158,-213
Willesden Green,Canary Wharf,-138,-140,-204
Leytonstone,Chancery Lane,-138,-140,-202
East Putney,Blackfriars,-138,-153,-174
London Bridge,Colindale,-138,-156,-158
Whitechapel,New Cross,-138,-128,-153
King's Cross St. Pancras,Canary Wharf,-137,-261,-388
Highbury & Islington,Euston,-137,100,-384
Hoxton,Whitechapel,-137,-160,-283
Finchley Road,Liverpool Street,-137,-201,-266
Elephant & Castle,Tooting Broadway,-137,-155,-159
Canary Wharf,Shadwell,-136,-128,-312
Golders Green,Bank and Monument,-136,-168,-297
Mile End,Oxford Circus,-136,-171,-279
Anerley,Canada Water,-136,-186,-242
Tooting Broadway,Morden,-136,1,-185
Embankment,Hammersmith,-136,-153,-158
Turnham Green,Mansion House,-136,-151,-156
Morden,Old Street,-136,-121,19
Stratford,Cutty Sark,-135,-177,-243
Turnpike Lane,Finsbury Park,-135,25,-210
Tooting Bec,Oxford Circus,-135,-150,-186
Dalston Junction,New Cross,-135,-136,-154
Seven Sisters,Turkey Street,-135,-134,-149
West Hampstead,Camden Road,-135,-82,-109
South Woodford,St. Paul's,-135,-138,-101
North Acton,Ealing Broadway,-135,29,-92
Newbury Park,St. Paul's,-135,-134,-23
Pinner,Farringdon,-135,-134,-17
Clapham South,Oxford Circus,-135,-105,-8
Kilburn,Bond Street,-135,-113,118
Amersham,Chalfont & Latimer,-135,85,388
Wembley Park,Canary Wharf,-134,-112,-224
Harrow-on-the-Hill,Moorgate,-134,-183,-223
Southgate,Highbury & Islington,-134,-100,-211
Shoreditch High Street,Shadwell,-134,-133,-200
Limehouse,Lewisham,-134,-157,-173
West Brompton,Kensington,-134,-95,-167
Canada Water,Brockley,-134,-144,-165
North Acton,Notting Hill Gate,-134,-132,-160
Whitechapel,Peckham Rye,-134,-142,-147
Walthamstow Central,Pimlico,-133,-173,-202
Liverpool Street,High Street Kensington,-133,-189,-196
Barons Court,Holborn,-133,-165,-189
Earl's Court,Tower Hill,-133,-161,-171
Whitechapel,Wapping,-133,-141,-171
Royal Oak,Farringdon,-133,-143,-157
Whitechapel,East Ham,-133,-147,-151
Kennington,Moorgate,-132,-158,-205
Kilburn,London Bridge,-132,-159,-205
Royal Oak,Hammersmith,-132,-133,-157
Finchley Central,Old Street,-132,-123,-68
Buckhurst Hill,Liverpool Street,-132,-135,-67
West Acton,Ealing Broadway,-132,193,992
Waterloo,Edgware Road,-131,-341,-417
Canary Wharf,Bermondsey,-131,-160,-212
Pinner,Canary Wharf,-131,-125,-175
Brent Cross,Burnt Oak,-131,-131,-135
East Putney,Fulham Broadway,-130,-23,-200
Charing Cross,Baker Street,-130,-168,-196
Queensway,Holborn,-130,-139,-179
Balham,Oxford Circus,-130,-77,164
King's Cross St. Pancras,Piccadilly Circus,-129,-216,-506
Finsbury Park,Russell Square,-129,-131,-281
Notting Hill Gate,Bond Street,-129,-97,-240
King George V,Canning Town,-129,-185,-224
Cannon Street,Blackfriars,-129,-135,-216
Whitechapel,Cannon Street,-129,-175,-212
Bounds Green,Victoria,-129,-124,-197
Notting Hill Gate,Canary Wharf,-129,-151,-172
Canons Park,Canary Wharf,-129,-129,-163
Hatton Cross,Hammersmith,-129,-130,-154
Richmond,Ravenscourt Park,-129,-127,-152
Queen's Park,Harlesden,-129,-111,-150
Blackfriars,Bank and Monument,-129,781,-117
Moorgate,Bank and Monument,-128,145,-667
